Times,Measures
4,587.4
6,-1925.7
9,-726.6
12,1149.1
14,95.2
17,-1447.4
20,2.9
25,-97.4
35,675.2
46,-242.5
58,385.2
68,41.6
77,-283.5
89,40.8
98,675.2
108,234.2
120,-89.4
132,478.7
143,-869.3
155,773.3
166,-478.5
179,1450.1
192,-1060.5
205,90.0
216,-386.8
228,-242.4
240,675.2
252,-768.9
265,-97.8
276,-480.5
288,93.7
299,1161.7
311,-7.1
322,478.8
333,-273.5
346,-98.2
357,293.0
368,-386.1
381,676.6
393,670.7
404,-336.1
416,2319.8
429,-770.5
441,-1252.4
455,1160.1
467,-287.9
480,1259.6
492,1163.1
504,-1152.0
519,105.5
530,-48.3
541,385.1
552,-771.9
565,-1252.4
578,-675.3
591,385.2
603,-431.3
615,202.3
626,-242.5
638,-1157.3
653,578.7
664,-196.4
676,385.1
688,-242.5
700,675.2
711,1063.3
724,-770.5
737,-1060.6
750,139.0
761,675.2
773,859.5
785,-772.0
797,-769.0
809,-96.3
821,1546.7
833,-965.1
846,-242.5
859,385.2
870,-673.8
882,-141.3
894,675.2
906,-1253.1
920,385.2
931,385.1
943,93.7
953,1259.9
965,-7.1
975,104.0
988,-390.5
1000,-382.9
1013,288.4
1026,-242.4
1039,-474.6
1053,-95.2
1065,-674.5
1079,-93.6
1091,-337.0
1104,-384.5
1119,3.1
1129,492.4
1141,-383.0
1155,383.6
1167,-480.5
1181,-383.1
1195,101.2
1207,-770.4
1220,-866.3
1233,774.9
1247,-771.9
1260,-769.6
1273,-95.3
1286,-771.1
1299,-1254.1
1314,594.9
1327,94.4
1338,776.2
1350,589.1
1362,-398.1
1376,777.8
1389,777.8
1401,-386.0
1415,294.3
1427,-386.7
1440,-481.1
1455,101.2
1467,-770.3
1480,-866.3
1494,774.9
1506,-771.1
1520,-769.6
1533,-95.3
1546,-771.1
1559,-1157.8
1573,594.9
1587,94.4
1598,776.3
1610,492.2
1623,-1248.0
1637,300.3
1650,385.1
1662,-99.0
1675,391.0
1687,-580.1
1700,-580.1
1715,391.1
1727,-290.0
1740,-769.6
1754,774.9
1766,-771.1
1780,-771.1
1794,-95.2
1806,-674.5
1819,-771.1
1832,774.9
1846,-676.0
1859,-674.4
1872,-95.3
1885,-336.1
1898,-1159.3
1913,594.9
1926,95.9
1937,776.2
1949,202.2
1961,95.1
1973,578.5
1986,-242.4
1999,-389.0
2013,107.1
2025,-97.4
2037,-481.9
2052,98.2
2063,95.9
2074,1258.1
2087,1161.5
2101,-385.2
2115,104.1
2127,871.4
2140,-674.4
2153,-93.6
2165,-384.2
2180,-765.3
2193,3.0
2203,-764.5
2216,-860.5
2230,-373.4
2244,-3.0
2255,291.3
2268,873.0
2280,-579.5
2293,1161.4
2307,104.1
2320,-764.5
2333,196.4
2345,-771.1
2359,-1254.1
2373,678.1
2386,44.6
2398,-385.2
2411,-92.1
2423,-486.5
2437,-624.7
2451,589.1
2463,-145.0
2477,-865.9
2490,774.9
2502,-1254.1
2518,-863.5
2531,1162.9
2544,-291.9
2557,-624.7
2571,1067.9
2585,-243.6
2598,-383.1
2612,1066.3
2625,-191.1
2638,-385.3
2653,1163.0
2666,-52.8
2678,-9.4
2690,-373.4
2703,-487.2
2717,-383.7
2731,490.7
2743,-487.2
2756,-772.7
2769,774.9
2783,-771.1
2796,-769.6
2809,-192.0
2823,-0.8
2834,376.0
2847,968.2
2860,-390.5
2873,582.9
2885,382.1
2897,-1.5
2910,478.8
2922,-295.3
2935,-294.9
2949,577.0
2961,95.2
2972,487.8
2985,101.9
2998,-295.0
3011,382.0
3023,-591.1
3037,-481.9
3051,4.5
3061,-0.8
3073,1258.1
3086,292.8
3098,40.1
3110,-672.3
3124,-384.5
3137,-385.2
3150,589.1
3163,-99.0
3176,-675.6
3189,99.7
3201,-385.2
3214,-860.5
3227,1161.4
3240,-675.9
3255,-672.9
3268,1936.4
3281,-291.9
3295,-479.4
3309,594.9
3321,95.9
3333,478.7
3345,382.1
3357,-481.9
3371,776.4
3384,-385.2
3397,-385.2
3410,-92.1
3423,-1254.1
3437,-96.3
3450,-95.2
3463,-771.1
3476,-771.1
3489,774.9
3502,-624.7
3516,-674.1
3529,-95.3
3542,-772.6
3555,-336.1
3568,774.9
3581,-675.9
3595,-336.9
3608,774.9
3620,-1253.8
3635,-144.3
3649,401.6
3661,94.4
3673,-293.8
3686,3.0
3696,40.1
3708,-770.5
3722,-242.4
3735,-528.0
3748,298.9
3761,-195.6
3775,95.6
3786,871.5
3799,-385.2
3812,-87.8
3824,298.9
3836,-481.2
3851,589.1
3863,389.8
3875,0.0
3886,1548.2
3899,-487.2
3913,-390.5
3927,589.0
3939,93.7
3950,589.1
3962,482.7
3976,-392.0
3989,383.6
4001,-390.5
4015,-479.7
4028,-385.3
4042,94.4
4054,-197.2
4067,4.6
4077,-384.6
4090,1163.0
4104,486.3
4117,-668.2
4130,492.4
4143,-93.6
4155,-98.9
4167,294.3
4180,-383.8
4194,-384.5
4207,1549.7
4220,-1253.8
4235,-398.1
4249,383.7
4261,-54.0
4274,-9.0
4285,1161.5
4298,-386.7
4313,-670.0
4326,1258.1
4339,-1061.2
4354,-623.1
4367,286.9
4380,-191.5
4393,-384.4
4407,679.5
4419,-1157.8
4433,-8.7
4446,98.2
4457,-390.5
4470,1259.7
4484,288.3
4496,-1152.0
4511,-675.9
4525,1936.4
4538,-385.2
4551,-591.0
4564,294.3
4578,95.9
4589,104.0
4601,-385.3
4615,-860.8
4628,300.4
4641,-480.4
4655,-336.1
4668,-95.3
4680,-866.7
4694,-242.5
4708,-95.2
4720,-770.4
4733,-241.7
4747,774.9
4759,-1157.8
4774,94.4
4786,99.7
4797,-386.0
4810,-861.5
4824,288.3
4836,-383.0
4850,-185.1
4864,-95.3
4876,-771.1
4889,-383.8
4902,-95.2
4916,-674.1
4929,99.6
4940,-624.6
4954,93.7
4965,383.5
4978,-293.9
4992,-293.9
5005,1259.7
5018,-1247.9
5032,-487.2
5047,478.8
5059,-53.2
5071,43.9
5083,288.4
5095,-480.5
