Times,Measures
1278,-0.1
1374,-0.0
1469,0.0
1564,-0.0
1659,0.0
1755,0.1
1849,0.2
1944,0.2
2039,0.1
2135,0.0
2230,-0.1
2325,-0.2
2420,-0.1
2515,-0.1
2611,-0.2
2705,-0.1
2800,-0.1
2895,0.1
2991,0.2
3086,0.2
3181,0.2
3276,0.2
3372,0.1
3467,0.0
3561,-0.0
3656,-0.1
3751,-0.2
3847,-0.2
3942,-0.2
4037,-0.1
4132,-0.0
4228,0.0
4323,0.1
4417,0.1
4512,0.1
4608,0.2
4703,0.2
4798,0.1
4893,0.0
4988,-0.1
5084,-0.1
5179,-0.0
5273,-0.1
5368,-0.1
5464,-0.1
5559,-0.0
5654,0.0
5749,0.1
5844,0.1
5940,0.2
6035,0.1
6129,0.1
6224,0.1
6320,0.1
6415,0.0
6510,-0.1
6605,-0.2
6701,-0.1
6796,-0.1
6891,-0.1
6985,-0.0
7080,0.0
7176,0.1
7271,0.1
7366,0.2
7461,0.2
7557,0.1
7652,-0.0
7746,-0.1
7841,-0.0
7937,-0.0
8032,-0.1
8127,-0.1
8222,-0.0
8317,-0.1
8413,-0.0
8508,0.1
8602,0.1
8697,0.1
8793,0.0
8888,-0.0
8983,0.1
9078,0.0
9174,0.0
9269,-0.0
9364,-0.0
9458,-0.1
9553,-0.1
9649,-0.1
9744,0.1
9839,0.1
9934,0.1
10030,0.0
10125,0.1
10220,0.1
10314,0.0
10409,-0.1
10505,-0.1
10600,-0.0
10695,-0.0
10790,-0.0
10886,-0.0
10981,-0.0
11076,0.0
11170,0.1
11266,0.1
11361,0.1
11456,0.1
11551,0.1
11646,0.1
11742,0.1
11837,0.1
11931,0.1
12026,-0.0
12122,-0.2
12217,-0.2
12312,-0.1
12407,0.1
12503,0.1
12598,0.0
12693,0.0
12787,0.1
12882,0.1
12978,0.1
13073,0.0
13168,0.0
13263,-0.0
13359,-0.2
13454,-0.1
13549,-0.0
13643,-0.0
13739,-0.1
13834,-0.1
13929,0.0
14024,0.2
14119,0.2
14215,0.1
14310,0.1
14405,-0.0
14499,0.1
14595,6.4
14690,65.9
14785,253.9
14880,432.7
14976,353.0
15071,165.5
15166,100.6
15261,148.6
15355,313.4
15451,557.5
15546,700.5
15641,714.6
15736,671.7
15832,615.0
15927,492.6
16022,243.2
16117,42.2
16211,0.2
16307,-0.5
16402,-0.4
16497,-0.5
16592,-0.5
16688,-0.4
16783,-0.4
16878,-0.4
16972,-0.6
17068,-0.7
17163,-0.6
17258,-0.8
17353,-0.6
17448,-0.5
17544,-0.5
17639,-0.5
17733,-0.5
17828,-0.4
17924,-0.1
18019,-0.4
